frame,throttle,vx,vy,r,up,left,right	
1,0.0000,0.0000,1.1940,0.0000,0,0,0	
2,0.0000,0.0000,2.3820,0.0000,0,0,0	
3,0.0000,0.0000,3.5641,0.0000,0,0,0	
4,0.0000,0.0000,4.7403,0.0000,0,0,0	
5,0.0000,0.0000,5.9106,0.0000,0,0,0	
6,0.0000,0.0000,7.0750,0.0000,0,0,0	
7,0.0000,0.0000,8.2337,0.0000,0,0,0	
8,0.0000,0.0000,60.8940,0.0000,0,0,0	
9,0.0000,0.0000,60.8940,0.0000,0,0,0	
10,0.0000,0.0000,60.8940,0.0000,0,0,0	
11,0.0000,0.0000,60.8940,0.0000,0,0,0	
12,0.0000,0.0000,60.8940,0.0000,0,0,0	
13,0.0000,0.0000,60.8940,0.0000,0,0,0	
14,0.0000,0.0000,60.8940,0.0000,0,0,0	
15,0.0000,0.0000,60.8940,0.0000,0,0,0	
16,0.0000,0.0000,60.8940,0.0000,0,0,0	
17,0.0000,0.0000,60.8940,0.0000,0,0,0	
18,0.0000,0.0000,60.8940,0.0000,0,0,0	
19,0.0000,0.0000,60.8940,0.0000,0,0,0	
20,0.0000,0.0000,60.8940,0.0000,0,0,0	
21,0.0000,0.0000,60.8940,0.0000,0,0,0	
22,0.0000,0.0000,60.8940,0.0000,0,0,0	
23,0.0000,0.0000,60.8940,0.0000,0,0,0	
24,0.0000,0.0000,60.8940,0.0000,0,0,0	
25,0.0000,0.0000,60.8940,0.0000,0,0,0	
26,0.0000,0.0000,60.8940,0.0000,0,0,0	
27,0.0000,0.0000,60.8940,0.0000,0,0,0	
28,0.0000,0.0000,60.8940,0.0000,0,0,0	
29,0.0000,0.0000,60.8940,0.0000,0,0,0	
30,0.0000,0.0000,60.8940,0.0000,0,0,0	
31,0.0000,0.0000,60.8940,0.0000,0,0,0	
32,0.0000,0.0000,60.8940,0.0000,0,0,0	
33,0.0000,0.0000,60.8940,0.0000,0,0,0	
34,0.0000,0.0000,60.8940,0.0000,0,0,0	
35,0.0000,0.0000,60.8940,0.0000,0,0,0	
36,0.0000,0.0000,60.8940,0.0000,0,0,0	
37,0.0000,0.0000,60.8940,0.0000,0,0,0	
38,0.0000,0.0000,60.8940,0.0000,0,0,0	
39,0.0000,0.0000,60.8940,0.0000,0,0,0	
40,0.0000,0.0000,60.8940,0.0000,0,0,0	
41,0.0800,0.0000,1.1622,0.0000,1,0,0	
42,0.1600,0.0000,1.1303,0.0000,1,0,0	
43,0.2400,0.0000,1.0985,0.0000,1,0,0	
44,0.3200,0.0000,2.1596,0.0000,1,0,0	
45,0.4000,0.0000,3.1836,0.0000,1,0,0	
46,0.4800,0.0000,4.1707,0.0000,1,0,0	
47,0.5600,0.0000,5.1209,0.0000,1,0,0	
48,0.6400,0.0000,6.0346,0.0000,1,0,0	
49,0.7200,0.0000,6.9119,0.0000,1,0,0	
50,0.8000,0.0000,7.7529,0.0000,1,0,0	
51,0.8800,0.0000,60.5438,0.0000,1,0,0	
52,0.9600,0.0000,60.5119,0.0000,1,0,0	
53,1.0400,0.0000,60.4801,0.0000,1,0,0	
54,1.1200,0.0000,60.4482,0.0000,1,0,0	
55,1.2000,0.0000,60.4164,0.0000,1,0,0	
56,1.2800,0.0000,60.3846,0.0000,1,0,0	
57,1.3600,0.0000,60.3527,0.0000,1,0,0	
58,1.4400,0.0000,60.3209,0.0000,1,0,0	
59,1.5200,0.0000,60.2890,0.0000,1,0,0	
60,1.6000,0.0000,60.2572,0.0000,1,0,0	
61,1.6800,0.0000,60.2254,0.0000,1,0,0	
62,1.7600,0.0000,60.1935,0.0000,1,0,0	
63,1.8400,0.0000,60.1617,0.0000,1,0,0	
64,1.9200,0.0000,60.1298,0.0000,1,0,0	
65,2.0000,0.0000,60.0980,0.0000,1,0,0	
66,2.0800,0.0000,60.0662,0.0000,1,0,0	
67,2.1600,0.0000,60.0343,0.0000,1,0,0	
68,2.2400,0.0000,60.0025,0.0000,1,0,0	
69,2.3200,0.0000,59.9706,0.0000,1,0,0	
70,2.4000,0.0000,59.9388,0.0000,1,0,0	
71,2.4800,0.0000,59.9070,0.0000,1,0,0	
72,2.5600,0.0000,59.8751,0.0000,1,0,0	
73,2.6400,0.0000,59.8433,0.0000,1,0,0	
74,2.7200,0.0000,59.8114,0.0000,1,0,0	
75,2.8000,0.0000,59.7796,0.0000,1,0,0	
76,2.8800,0.0000,59.7478,0.0000,1,0,0	
77,2.9600,0.0000,59.7159,0.0000,1,0,0	
78,3.0400,-0.0071,59.6847,-0.0059,1,1,0	
79,3.1200,-0.0290,59.6531,-0.0177,1,1,0	
80,3.2000,-0.0738,59.6218,-0.0353,1,1,0	
81,3.2800,-0.1501,59.5915,-0.0588,1,1,0	
82,3.3600,-0.2668,59.5626,-0.0880,1,1,0	
83,3.4400,-0.4335,59.5359,-0.1231,1,1,0	
84,3.5200,-0.6599,59.5125,-0.1640,1,1,0	
85,3.6000,-0.9560,59.4935,-0.2106,1,1,0	
86,3.6800,-1.3317,59.4804,-0.2629,1,1,0	
87,3.7600,-1.7969,59.4747,-0.3210,1,1,0	
88,3.8400,-2.3613,59.4781,-0.3848,1,1,0	
89,3.9200,-3.0176,59.4841,-0.4426,1,0,0	
90,4.0000,-3.7585,59.4929,-0.4948,1,0,0	
91,4.0800,-4.5773,59.5029,-0.5420,1,0,0	
92,4.1600,-5.4680,59.5131,-0.5845,1,0,0	
93,4.2400,-6.4247,59.5231,-0.6226,1,0,0	
94,4.3200,-7.4424,59.5324,-0.6568,1,0,0	
95,4.4000,-8.5164,59.5405,-0.6874,1,0,0	
96,4.4800,-9.6422,59.5471,-0.7145,1,0,0	
97,4.5600,-10.8159,59.5521,-0.7386,1,0,0	
98,4.6400,-12.0339,59.5553,-0.7599,1,0,0	
99,4.7200,-13.2929,59.5566,-0.7785,1,0,0	
100,4.8000,-14.5899,59.5559,-0.7948,1,0,0	
101,4.8800,-15.9221,59.5531,-0.8088,1,0,0	
102,4.9600,-17.2869,59.5484,-0.8208,1,0,0	
