perk_drone_motor_upgrade,Motor Upgrade,,,,,,,,,,,,,,,,,,,,,,,
perk_drone_motor_upgrade_desc,20% thrust increase!,,,,,,,,,,,,,,,,,,,,,,,
perk_drone_gyro_upgrade,Gyroscope Upgrade,,,,,,,,,,,,,,,,,,,,,,,
perk_drone_gyro_upgrade_desc,Your drone stabilizes more efficiently.,,,,,,,,,,,,,,,,,,,,,,,
perk_drone_robust_chassis,Robust Chassis,,,,,,,,,,,,,,,,,,,,,,,
perk_drone_robust_chassis_desc,Your drone is less prone to impact damage!,,,,,,,,,,,,,,,,,,,,,,,
perk_drone_no_knockback_desc,You no longer lose control upon being hit!,,,,,,,,,,,,,,,,,,,,,,
perk_drone_magical_gust,Magical Gust,,,,,,,,,,,,,,,,,,,,,,,
perk_drone_magical_gust_desc,Your wind creates a magical dust cloud which hurts nearby critters.,,,,,,,,,,,,,,,,,,,,,,,
perk_drone_angry_stabilization,Rage-fueled Stabilization,,,,,,,,,,,,,,,,,,,,,,,
perk_drone_angry_stabilization_desc,Killing an enemy rotates you upright!,,,,,,,,,,,,,,,,,,,,,,,
perk_drone_mechanical_legs,Mechanical Legs,,,,,,,,,,,,,,,,,,,,,,,
perk_drone_mechanical_legs_desc,Gain mechanical legs which help with stabilization.,,,,,,,,,,,,,,,,,,,,,,,
perk_drone_heavy_wind,Heavy Wind,,,,,,,,,,,,,,,,,,,,,,,
perk_drone_heavy_wind_desc,Your airflow blows objects away!,,,,,,,,,,,,,,,,,,,,,,,
